,strasbourg_metropole_quotient_familial,uid,cout_cantine
1704,99999,23499999,455.4
7649,457,23500457,277.35
6150,635,23600635,435.5
995,1149,23701149,365.40002
8378,353,23800353,114.0
8379,390,23800390,246.0
359,677,23900677,845.0
5276,318,24000318,28.5
6053,845,24100845,140.8
3805,99999,24299999,6.9
1562,643,24300643,113.75
5463,8166,24408166,931.5
361,701,24500701,123.5
12003,460,24600460,0.0
4398,519,24700519,677.7
595,962,24800962,178.5
7464,492,24900492,232.20001
10355,640,25000640,211.25
935,852,25100852,501.6
6388,655,25200655,442.0
609,1381,25301381,788.80005
786,1173,25401173,1183.2001
2503,486,25500486,55.9
666,1221,25601221,771.4
4151,881,25700881,308.0
2732,598,25800598,0.0
1875,983,25900983,678.3
7740,606,26000606,364.5
2309,575,26100575,307.8
3618,655,26200655,442.0
99,456,26300456,292.40002
240,715,26400715,334.75
633,1516,26501516,765.60004
3534,1717,26601717,220.5
4524,1272,26701272,736.60004
4462,433,26800433,23.650002
4401,385,26900385,0.0
457,494,26900494,0.0
4034,340,27000340,18.0
896,631,27100631,442.0
267,789,27200789,1018.4
990,840,27300840,140.8
2663,1291,27401291,788.80005
2450,1138,27501138,759.80005
510,605,27600605,0.0
5416,648,27700648,429.0
1208,370,27800370,0.0
3898,1022,27901022,122.399994
579,463,28000463,273.05002
4688,485,28100485,292.40002
3406,473,28200473,283.80002
1607,575,28300575,351.0
3648,694,28400694,409.5
165,771,28500771,946.2
4123,330,28600330,261.0
3588,453,28700453,242.95001
2497,2054,28802054,269.1
3622,564,28900564,364.5
943,625,29000625,425.75
3786,2711,29102711,834.9
1320,430,29200430,0.0
306,790,29300790,494.0
4004,356,29400356,192.0
1321,1013,29501013,673.2
6776,566,29600566,118.8
154,436,29700436,285.95
5928,607,29800607,10.8
657,802,29900802,15.2
463,503,30000503,288.1
2293,421,30100421,273.05002
2833,515,30200515,37.8
2283,655,30300655,42.25
277,346,30400346,193.5
1013,617,30500617,2.7
414,641,30600641,422.5
5909,615,30700615,75.6
639,1338,30801338,649.60004
4538,842,30900842,440.0
4213,803,31000803,414.19998
1007,341,31100341,201.0
5129,408,31200408,39.0
5345,252,31300252,10.5
4678,749,31400749,516.8
1189,2190,31502190,938.4
14211,234,31600234,12.0
882,445,31700445,290.25
6364,952,31800952,413.1
4648,99999,31999999,938.4
305,589,32000589,305.1
6975,875,32100875,277.2
5514,715,32200715,0.0
1149,2546,32302546,924.60004
15120,785,32400785,509.19998
0,99999,32599999,234.6
2082,960,32600960,15.299999
3036,481,32700481,8.6
969,326,32800326,195.0
15589,743,32900743,513.0
5025,544,33000544,135.0
4944,1233,33101233,701.80005
389,348,33200348,60.0
667,650,33300650,442.0
993,458,33400458,268.75
626,361,33500361,312.0
627,438,33500438,137.6
1714,390,33600390,312.0
49,1738,33701738,0.0
1423,537,33800537,691.2
2220,660,33900660,13.0
4063,412,34000412,273.05002
456,888,34100888,466.40002
622,1154,34201154,1473.2001
718,1801,34301801,0.0
276,485,34400485,258.0
14540,553,34500553,143.1
7612,1025,34601025,652.8
4874,414,34700414,182.75002
130,1407,34801407,748.2
12119,1243,34901243,510.40002
1300,392,35000392,355.5
2108,759,35100759,182.4
15888,1,35200001,189.0
2512,1327,35301327,348.0
228,531,35400531,162.0
4435,434,35500434,64.5
1736,592,35600592,40.5
10301,459,35700459,279.5
4322,645,35800645,416.0
271,680,35900680,835.25
6090,526,36000526,718.2
2906,99999,36199999,41.4
16099,325,36200325,114.0
1595,911,36300911,413.6
1596,1023,36301023,122.399994
1570,1472,36401472,46.4
2271,99999,36599999,938.4
109,663,36600663,399.75
4921,580,36700580,345.6
3782,316,36800316,97.5
