Id Personne;Id Famille;QF;Type repas;Nombre;id gale ou non ;type de repas simplifi par tarif identique 
54;918;456;Repas Halal;94;;Repas Standard
55;947;239;Repas Halal;2;;Repas Standard
56;1466;1280;Repas Standard;82;;Repas Standard
57;5230;924;Repas Standard;117;;Repas Standard
58;1432;1788;Repas Standard;136;;Repas Standard
59;1435;782;Repas Standard;136;;Repas Standard
60;835;398;Repas Standard;23;;Repas Standard
61;134;385;Repas Halal;95;;Repas Standard
62;1442;327;Repas Sans Porc;130;;Repas Standard
63;1442;327;Repas Sans Porc;131;;Repas Standard
64;222;1907;Repas Standard;66;;Repas Standard
65;529;718;Repas Halal;22;;Repas Standard
66;545;2714;Repas Standard;72;;Repas Standard
67;1446;563;Repas Sans Porc;74;;Repas Standard
68;1449;1281;Repas Standard;77;;Repas Standard
69;804;356;Repas Sans Porc;50;;Repas Standard
70;804;356;Repas Sans Porc;50;;Repas Standard
71;1457;992;Repas Standard;130;;Repas Standard
72;10423;930;Repas Standard;61;;Repas Standard
73;686;278;Repas Standard;116;;Repas Standard
74;6117;999999;Repas Standard;129;;Repas Standard
75;1459;1375;Repas Halal;102;;Repas Standard
76;1461;1474;Repas Standard;136;;Repas Standard
77;633;312;Repas Halal;136;;Repas Standard
78;1474;1727;Repas Standard;39;;Repas Standard
79;1476;480;Repas Sans Porc;126;;Repas Standard
80;1193;2341;Repas Standard;136;;Repas Standard
81;1479;999999;Repas Standard;137;;Repas Standard
82;885;1579;Repas Standard;105;;Repas Standard
83;536;718;Repas Sans Porc;1;;Repas Standard
84;1301;381;Repas Standard;73;;Repas Standard
85;1487;1081;Repas Halal;21;;Repas Standard
86;1488;448;Repas Halal;136;;Repas Standard
87;1490;455;Repas Standard;136;;Repas Standard
88;562;395;Repas Standard;132;;Repas Standard
89;836;1588;Repas Standard;135;;Repas Standard
90;1492;1665;Repas Standard;134;;Repas Standard
91;1155;2031;Repas Standard;30;oui;Repas Standard
91;1155;2031;Repas Sans Porc;14;;Repas Standard
92;1444;1160;Repas Standard;80;;Repas Standard
93;1499;747;Repas Standard;9;;Repas Standard
94;442;642;Repas Halal;124;;Repas Standard
95;35;2330;Repas Standard;68;;Repas Standard
96;263;456;Repas Standard;136;;Repas Standard
97;389;523;Panier;134;;Panier
98;1500;472;Repas Standard;115;;Repas Standard
99;1501;1592;Repas Standard;102;;Repas Standard
100;1502;1098;Repas Standard;125;;Repas Standard
101;843;422;Repas Standard;82;;Repas Standard
102;1507;1365;Repas Standard;64;;Repas Standard
103;1406;293;Repas Halal;50;;Repas Standard
104;1485;1953;Repas Standard;136;;Repas Standard
105;1508;558;Repas Standard;1;;Repas Standard
106;366;663;Repas Standard;123;;Repas Standard
107;1512;827;Repas Standard;36;;Repas Standard
108;1165;570;Repas Halal;20;;Repas Standard
109;1515;1428;Repas Végétarien;123;;Repas vgtarien
110;1515;1428;Repas Standard;125;;Repas Standard
111;1517;1478;Repas Standard;129;;Repas Standard
112;1519;711;Repas Standard;135;;Repas Standard
113;1521;1533;Repas Halal;114;;Repas Standard
114;6319;553;Repas Standard;110;;Repas Standard
115;1525;1643;Repas Standard;27;;Repas Standard
116;1539;1071;Repas Standard;129;;Repas Standard
117;1548;540;Repas Standard;134;;Repas Standard
118;1555;999999;Repas Standard;49;;Repas Standard
119;1562;1563;Repas Standard;4;oui;Repas Standard
119;1562;1587;Repas Standard;32;;Repas Standard
120;495;289;Repas Halal;64;;Repas Standard
121;1045;720;Repas Halal;104;;Repas Standard
122;1587;1834;Repas Standard;130;;Repas Standard
123;1595;668;Repas Standard;14;;Repas Standard
124;1595;668;Repas Standard;14;;Repas Standard
125;1598;1562;Repas Standard;99;;Repas Standard
126;348;1407;Repas Standard;129;;Repas Standard
127;1605;612;Repas Standard;2;oui;Repas Standard
127;1605;1530;Repas Standard;116;;Repas Standard
128;1484;665;Repas Standard;112;;Repas Standard
129;1623;398;Repas Halal;45;;Repas Standard
130;1162;567;Repas Halal;135;;Repas Standard
131;1640;610;Repas Halal;123;;Repas Standard
132;1648;675;Repas Halal;123;;Repas Standard
133;1152;720;Repas Halal;8;;Repas Standard
134;1313;685;Repas Standard;24;;Repas Standard
135;584;577;Repas Halal;70;;Repas Standard
136;1055;1031;Repas Halal;55;;Repas Standard
137;9122;999999;Repas Halal;19;;Repas Standard
138;1730;4130;Repas Halal;127;;Repas Standard
139;1352;506;Repas Standard;34;;Repas Standard
140;1735;1238;Repas Standard;98;;Repas Standard
141;1736;1582;Repas Standard;128;;Repas Standard
142;1305;668;Repas Halal;131;;Repas Standard
143;1740;1600;Repas Standard;115;;Repas Standard
144;1737;385;Repas Sans Porc;79;;Repas Standard
145;207;811;Repas Standard;42;oui;Repas Standard
145;207;811;Panier;2;;Panier
146;158;466;Repas Halal;78;;Repas Standard
147;630;784;Repas Halal;77;;Repas Standard
148;1412;1223;Repas Standard;90;;Repas Standard
149;297;436;Repas Standard;133;;Repas Standard
150;1761;1017;Repas Halal;4;;Repas Standard
151;1764;999999;Repas Standard;119;;Repas Standard
152;863;339;Repas Halal;44;;Repas Standard
153;1766;2145;Repas Standard;134;;Repas Standard
154;1231;1215;Repas Sans Porc;134;;Repas Standard
155;1768;1062;Repas Standard;130;;Repas Standard
156;1776;2680;Repas Standard;75;;Repas Standard
157;1777;1877;Repas Standard;132;;Repas Standard
158;1780;3019;Repas Végétarien;136;;Repas vgtarien
159;1781;999999;Repas Standard;129;;Repas Standard
160;285;771;Repas Standard;127;;Repas Standard
161;567;590;Repas Standard;129;;Repas Standard
162;1791;759;Repas Standard;134;;Repas Standard
163;825;1744;Repas Standard;1;;Repas Standard
164;164;272;Repas Standard;15;;Repas Standard
165;1794;627;Repas Halal;25;;Repas Standard
166;1795;999999;Repas Standard;4;;Repas Standard
167;175;918;Repas Standard;12;;Repas Standard
168;940;304;Repas Halal;109;;Repas Standard
169;1799;1656;Repas Standard;136;;Repas Standard
170;195;670;Repas Halal;131;;Repas Standard
171;106;957;Repas Halal;136;;Repas Standard
172;1052;1240;Repas Standard;114;;Repas Standard
173;1810;771;Repas Halal;14;;Repas Standard
174;437;598;Repas Halal;137;;Repas Standard
175;1811;993;Repas Standard;135;;Repas Standard
176;1815;949;Repas Végétarien;71;oui;Repas vgtarien
176;1815;949;Repas Standard;60;;Repas Standard
177;1818;799;Repas Standard;53;oui;Repas Standard
177;1818;799;Repas Végétarien;46;;Repas vgtarien
178;1819;1389;Repas Standard;135;;Repas Standard
179;1547;1417;Repas Standard;29;;Repas Standard
180;1061;285;Repas Halal;111;;Repas Standard
181;219;378;Repas Standard;100;;Repas Standard
182;8240;399;Repas Halal;39;;Repas Standard
183;1821;433;Repas Halal;136;;Repas Standard
184;1823;469;Repas Standard;62;;Repas Standard
185;9294;486;Repas Végétarien;20;;Repas vgtarien
186;1827;580;Repas Standard;136;;Repas Standard
187;1417;3805;Repas Standard;132;;Repas Standard
188;1469;1329;Repas Standard;129;;Repas Standard
189;1834;330;Repas Halal;132;;Repas Standard
190;1836;1079;Repas Standard;62;oui;Repas Standard
190;1836;1828;Repas Standard;67;;Repas Standard
191;1842;669;Repas Halal;8;;Repas Standard
192;1844;403;Repas Végétarien;133;;Repas vgtarien
193;1770;440;Repas Standard;117;;Repas Standard
194;1845;788;Repas Halal;4;;Repas Standard
195;679;306;Repas Végétarien;31;;Repas vgtarien
196;1188;1715;Repas Standard;129;;Repas Standard
197;611;2237;Repas Standard;136;;Repas Standard
198;1848;2031;Repas Végétarien;136;;Repas vgtarien
199;1067;1911;Repas Standard;104;;Repas Standard
200;1078;290;Repas Standard;136;;Repas Standard
201;148;345;Repas Halal;120;;Repas Standard
202;1849;319;Repas Standard;67;;Repas Standard
203;821;962;Repas Halal;117;;Repas Standard
204;1850;1968;Repas Standard;136;;Repas Standard
205;156;346;Repas Standard;28;;Repas Standard
206;1019;331;Repas Sans Porc;39;oui;Repas Standard
206;1019;429;Repas Sans Porc;52;;Repas Standard
207;1851;404;Repas Halal;136;;Repas Standard
